Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,5042.00368691841,4940.34017054957,4838.67665418073,4737.01313781189,4635.34962144305,4533.68610507421,4426.69683200197,4319.70755892973,4212.71828585748,4105.72901278524,3998.739739713,3914.94205516873,3831.14437062446,3747.34668608019,3663.54900153592,3579.75131699165,3595.8002388464,3611.84916070115,3627.8980825559,3643.94700441065,3659.9959262654,3740.61015573453,3821.22438520366,3901.8386146728,3982.45284414193,4063.06707361106,3901.4474150096,3739.82775640815,3578.20809780669,3416.58843920524,3254.96878060378,3091.13412031161,2927.29946001944,2763.46479972727,2599.6301394351,2435.79547914293,2365.87880470087,2295.96213025881,2226.04545581676,2156.1287813747,2086.21210693264,2016.93328301887,1947.6544591051,1878.37563519133,1809.09681127756,1739.81798736379,1694.47260546662,1649.12722356945,1603.78184167229,1558.43645977512,1513.09107787795,1463.00160947778,1412.91214107761,,,,,
Angola,AGO,,,26388.3339315283,26236.880226314,26085.4265210996,25933.9728158853,25782.5191106709,25631.0654054566,25241.9498151119,24852.8342247673,24463.7186344226,24074.603044078,23685.4874537333,22877.38401441,22069.2805750867,21261.1771357634,20453.0736964401,19644.9702571168,19022.1490314101,18399.3278057034,17776.5065799967,17153.68535429,16530.8641285833,15993.8285201644,15456.7929117455,14919.7573033266,14382.7216949077,13845.6860864888,13415.1080923343,12984.5300981798,12553.9521040253,12123.3741098708,11692.7961157163,11344.6118160008,10996.4275162852,10648.2432165697,10300.0589168542,9951.87461713861,9651.05363263477,9350.23264813093,9049.41166362708,8748.59067912324,8447.7696946194,8174.12037308963,7900.47105155986,7626.82173003009,7353.17240850032,7079.52308697055,6842.52883060938,6605.5345742482,6368.54031788702,6131.54606152585,5894.55180516467,5693.93936530319,5493.32692544171,,,,,
Albania,ALB,,,15718.869480208,15312.1761062264,14905.4827322447,14498.7893582631,14092.0959842814,13685.4026102998,13346.7606957902,13008.1187812806,12669.476866771,12330.8349522614,11992.1930377518,11734.1568736021,11476.1207094524,11218.0845453028,10960.0483811531,10702.0122170034,10493.8880877653,10285.7639585272,10077.6398292891,9869.51570005106,9661.39157081297,9473.82439831736,9286.25722582174,9098.69005332612,8911.12288083051,8723.55570833489,8635.73874009792,8547.92177186095,8460.10480362398,8372.28783538701,8284.47086715004,8336.4457559162,8388.42064468235,8440.39553344851,8492.37042221466,8544.34531098082,8598.82674583317,8653.30818068553,8707.78961553788,8762.27105039024,8816.75248524259,8864.83943114474,8912.92637704688,8961.01332294903,9009.10026885117,9057.18721475332,9100.66569549734,9144.14417624137,9187.62265698539,9231.10113772942,9274.57961847344,9292.71239007839,9310.84516168334,,,,,
Andorra,AND,,,20533.5068314899,19467.560836615,18401.6148417401,17335.6688468651,16269.7228519902,15203.7768571153,14510.1879292442,13816.5990013731,13123.0100735021,12429.421145631,11735.8322177599,11314.7589663595,10893.6857149591,10472.6124635588,10051.5392121584,9630.46596075799,9318.11720793758,9005.76845511717,8693.41970229675,8381.07094947634,8068.72219665593,7757.62970242845,7446.53720820097,7135.44471397348,6824.352219746,6513.25972551852,6282.47301611649,6051.68630671446,5820.89959731242,5590.11288791039,5359.32617850836,5268.69743759115,5178.06869667394,5087.43995575672,4996.81121483951,4906.1824739223,4826.02950638306,4745.87653884381,4665.72357130456,4585.57060376532,4505.41763622607,4367.72243078435,4230.02722534263,4092.3320199009,3954.63681445918,3816.94160901746,3819.32178540024,3821.70196178302,3824.08213816581,3826.46231454859,3828.84249093137,3906.5185022291,3984.19451352682,,,,,
Arab World,ARB,,,1217.60449064098,1186.18809658466,1154.77170252834,1123.35530847202,1091.9389144157,1060.52252035938,1033.36138912249,1006.2002578856,979.039126648707,951.877995411815,924.716864174924,899.57836099772,874.439857820515,849.301354643311,824.162851466106,799.024348288902,775.607224192998,752.190100097094,728.77297600119,705.355851905286,681.938727809382,663.278112733097,644.617497656812,625.956882580527,607.296267504242,588.635652427957,574.648883563311,560.662114698665,546.675345834019,532.688576969373,518.701808104727,506.504649684142,494.307491263557,482.110332842973,469.913174422388,457.716016001803,448.576807618611,439.437599235419,430.298390852226,421.159182469034,412.019974085842,403.177530678913,394.335087271984,385.492643865055,376.650200458126,367.807757051197,355.316010399761,342.824263748324,330.332517096888,317.840770445451,305.349023794015,298.896741674742,292.444459555468,,,,,
United Arab Emirates,ARE,,,1337.87616618206,1247.00955809364,1156.14295000522,1065.2763419168,974.409733828385,883.543125739967,797.476061560509,711.408997381051,625.341933201592,539.274869022134,453.207804842676,403.3634761899,353.519147537125,303.674818884349,253.830490231574,203.986161578798,188.944291100117,173.902420621436,158.860550142754,143.818679664073,128.776809185392,122.584079070034,116.391348954676,110.198618839318,104.005888723959,97.8131586086013,92.8640645759254,87.9149705432495,82.9658765105737,78.0167824778978,73.0676884452219,69.6843771350809,66.3010658249398,62.9177545147988,59.5344432046577,56.1511318945167,53.5446258633103,50.9381198321038,48.3316138008974,45.7251077696909,43.1186017384845,39.3580339002229,35.5974660619613,31.8368982236998,28.0763303854382,24.3157625471766,22.7343127076033,21.15286286803,19.5714130284567,17.9899631888834,16.4085133493101,16.343889360164,16.279265371018,,,,,
Argentina,ARG,,,13804.1545966984,13601.4880787577,13398.8215608169,13196.1550428762,12993.4885249354,12790.8220069947,12601.5208453205,12412.2196836462,12222.918521972,12033.6173602977,11844.3161986235,11665.8857336543,11487.4552686851,11309.0248037158,11130.5943387466,10952.1638737774,10789.8928190809,10627.6217643843,10465.3507096878,10303.0796549912,10140.8086002947,9985.37721684781,9829.94583340093,9674.51444995404,9519.08306650716,9363.65168306027,9232.6801876489,9101.70869223753,8970.73719682616,8839.76570141479,8708.79420600342,8604.84273448158,8500.89126295973,8396.93979143789,8292.98831991605,8189.0368483942,8101.05138321348,8013.06591803275,7925.08045285203,7837.0949876713,7749.10952249058,7670.90252257878,7592.69552266697,7514.48852275516,7436.28152284336,7358.07452293155,7285.82273081251,7213.57093869347,7141.31914657442,7069.06735445538,6996.81556233634,6920.0555623702,6843.29556240406,,,,,
Armenia,ARM,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,398.452778640282,796.905557280564,1195.35833592085,1593.81111456113,1992.26389320141,2031.65376761056,2071.04364201971,2110.43351642887,2149.82339083802,2189.21326524717,2203.51627706413,2217.81928888108,2232.12230069804,2246.42531251499,2260.72832433195,2276.35582323936,2291.98332214677,2307.61082105419,2323.2383199616,2338.86581886901,2346.7136962816,2354.5615736942,2362.40945110679,2370.25732851939,2378.10520593198,2366.60255055222,2355.09989517247,,,,,
American Samoa,ASM,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,,,,,,
